BufferReaderCase;1000;14.904;5128.804
FilesLinesWithoutValidation;2000;34.632;11049.787
BufferReaderWithoutValidation;2000;34.405;10718.4375
BufferReaderCase;2000;33.582;8551.393
FileReaderCase;2000;32.726;9151.712
CSVReaderCase;2000;40.34;8396.257
ScannerCase;2000;40.948;9241.912
CSVReaderWithoutValidation;2000;49.486;9896.354
FileReaderWithoutValidation;2000;38.2;9791.496
FilesLinesCase;2000;33.917;9267.465
ScannerWithoutValidation;2000;41.368;10367.432
ScannerWithoutValidation;4000;98.512;15803.797
FileReaderCase;4000;76.095;15375.685
FileReaderWithoutValidation;4000;89.56;16071.808
CSVReaderWithoutValidation;4000;113.623;15887.339
FilesLinesCase;4000;70.949;16316.245
BufferReaderCase;4000;70.614;16504.936
CSVReaderCase;4000;85.703;16330.008
BufferReaderWithoutValidation;4000;80.372;16706.062
FilesLinesWithoutValidation;4000;83.956;16070.691
ScannerCase;4000;87.245;16728.383
CSVReaderCase;100;1.519;1088.7913
FilesLinesCase;100;1.213;1115.6848
CSVReaderWithoutValidation;100;2.056;2127.8066
ScannerCase;100;1.567;1403.0612
FilesLinesWithoutValidation;100;1.364;703.65186
FileReaderWithoutValidation;100;1.543;600.8247
FileReaderCase;100;1.238;1051.4313
ScannerWithoutValidation;100;1.638;1988.1001
BufferReaderCase;100;1.182;1103.289
BufferReaderWithoutValidation;100;1.301;777.9021
CSVReaderCase;250;4.204;1383.5121
CSVReaderWithoutValidation;250;5.488;1656.7455
FileReaderCase;250;3.359;1744.8304
FilesLinesCase;250;3.358;1885.8612
ScannerWithoutValidation;250;4.553;2134.8928
FilesLinesWithoutValidation;250;3.643;1560.2798
BufferReaderWithoutValidation;250;3.661;1623.1726
BufferReaderCase;250;3.392;1241.1049
FileReaderWithoutValidation;250;4.007;2359.013
ScannerCase;250;4.309;1647.5604
BufferReaderWithoutValidation;500;7.439;3787.2678
ScannerCase;500;8.782;3011.0085
FilesLinesCase;500;7.186;3354.96
BufferReaderCase;500;6.943;3384.8003
FileReaderCase;500;7.091;3015.7043
FileReaderWithoutValidation;500;8.562;3401.459
ScannerWithoutValidation;500;9.349;3572.1492
CSVReaderWithoutValidation;500;11.258;2944.3894
CSVReaderCase;500;8.473;3149.922
FilesLinesWithoutValidation;500;7.721;3518.576
FilesLinesCase;1000;15.565;4311.584
FileReaderCase;1000;15.556;4852.5303
FileReaderWithoutValidation;1000;18.41;5149.2554
BufferReaderWithoutValidation;1000;16.297;5498.3936
ScannerCase;1000;19.278;4615.1636
CSVReaderCase;1000;17.761;5393.8745
FilesLinesWithoutValidation;1000;16.576;6071.8647
