Algorytm;Rozmiar;Czas [ms];Pamięć [MB]
FilesLinesCase;1gb;14,57;4 777,31
CSVReaderCase;1gb;17,26;5 381,29
BufferReaderCase;1gb;14,31;4 311,74
CSVReaderWithoutValidation;1gb;23,13;4 347,45
FileReaderCase;1gb;14,26;5 414,85
ScannerWithoutValidation;2gb;45,73;7 415,57
ScannerCase;2gb;42,87;2 890,88
CSVReaderWithoutValidation;2gb;48,07;7 159,51
BufferReaderCase;2gb;31,75;3 341,09
CSVReaderCase;2gb;37,81;2 581,33
BufferReaderWithoutValidation;2gb;32,89;3 607,46
FileReaderWithoutValidation;2gb;33,49;4 878,09
FilesLinesCase;2gb;30,96;4 030,98
FilesLinesWithoutValidation;2gb;33,20;4 073,41
FileReaderCase;2gb;32,13;2 567,60
BufferReaderCase;4gb;71,82;9 708,21
ScannerCase;4gb;95,31;4 731,25
CSVReaderWithoutValidation;4gb;111,45;4 701,58
FileReaderWithoutValidation;4gb;80,72;4 669,51
CSVReaderCase;4gb;83,03;4 226,87
FileReaderCase;4gb;71,50;4 637,13
ScannerWithoutValidation;4gb;102,73;4 874,21
BufferReaderWithoutValidation;4gb;79,92;4 590,07
FilesLinesWithoutValidation;4gb;83,66;3 497,30
FilesLinesCase;4gb;68,58;4 307,60
ScannerCase;100mb;1,97;1 416,00
FilesLinesWithoutValidation;100mb;1,30;574,82
FilesLinesCase;100mb;1,16;911,12
BufferReaderWithoutValidation;100mb;1,27;692,33
CSVReaderWithoutValidation;100mb;2,08;871,19
BufferReaderCase;100mb;1,15;912,34
ScannerWithoutValidation;100mb;1,96;217,76
FileReaderCase;100mb;1,17;858,13
CSVReaderCase;100mb;1,56;1 088,07
FileReaderWithoutValidation;100mb;1,39;280,44
BufferReaderWithoutValidation;250mb;3,41;1 647,05
FileReaderCase;250mb;3,33;462,63
FilesLinesCase;250mb;3,24;2 155,87
FilesLinesWithoutValidation;250mb;3,48;1 010,28
CSVReaderCase;250mb;4,20;1 224,52
ScannerWithoutValidation;250mb;5,02;1 652,10
BufferReaderCase;250mb;3,21;1 219,75
FileReaderWithoutValidation;250mb;3,54;1 910,65
ScannerCase;250mb;4,77;1 037,62
CSVReaderWithoutValidation;250mb;5,39;2 048,19
ScannerWithoutValidation;500mb;10,65;3 097,65
BufferReaderWithoutValidation;500mb;7,35;1 766,24
CSVReaderCase;500mb;8,68;1 289,14
BufferReaderCase;500mb;7,06;1 955,35
CSVReaderWithoutValidation;500mb;11,13;2 094,04
FilesLinesWithoutValidation;500mb;7,36;2 309,76
FileReaderCase;500mb;7,09;1 162,11
ScannerCase;500mb;9,90;2 526,08
FileReaderWithoutValidation;500mb;7,69;2 182,04
FilesLinesCase;500mb;7,01;1 703,30
BufferReaderWithoutValidation;1gb;15,85;4 542,28
CSVReaderCase;1gb;18,54;1 907,90
FileReaderCase;1gb;15,39;2 124,58
BufferReaderCase;1gb;14,88;1 537,21
ScannerWithoutValidation;1gb;21,62;4 354,53
FileReaderWithoutValidation;1gb;16,28;2 856,53
FilesLinesCase;1gb;14,97;5 188,35
CSVReaderWithoutValidation;1gb;22,68;3 452,49
ScannerCase;1gb;20,40;5 695,86
FilesLinesWithoutValidation;1gb;15,35;3 492,21
FileReaderWithoutValidation;2gb;33,87;7 634,49
ScannerWithoutValidation;2gb;44,67;7 190,35
FilesLinesCase;2gb;30,87;2 589,97
CSVReaderCase;2gb;37,49;2 728,28
BufferReaderWithoutValidation;2gb;33,87;3 489,23
BufferReaderCase;2gb;31,74;3 053,86
CSVReaderWithoutValidation;2gb;47,08;3 868,72
FilesLinesWithoutValidation;2gb;33,24;3 857,60
ScannerCase;2gb;43,12;3 200,83
FileReaderCase;2gb;32,08;2 578,84
FileReaderCase;4gb;74,21;9 258,71
FileReaderWithoutValidation;4gb;80,84;4 637,38
BufferReaderCase;4gb;71,46;4 238,59
FilesLinesWithoutValidation;4gb;82,42;4 199,11
CSVReaderCase;4gb;80,55;4 550,99
CSVReaderWithoutValidation;4gb;113,15;4 086,15
ScannerCase;4gb;92,01;4 461,23
FilesLinesCase;4gb;71,15;4 528,60
ScannerWithoutValidation;4gb;107,59;4 179,88
BufferReaderWithoutValidation;4gb;77,92;4 709,96
FileReaderWithoutValidation;100mb;1,51;1 830,40
CSVReaderCase;100mb;1,48;899,18
CSVReaderWithoutValidation;100mb;1,99;1 930,59
BufferReaderWithoutValidation;100mb;1,31;412,94
FilesLinesCase;100mb;1,25;1 112,95
FilesLinesWithoutValidation;100mb;1,27;680,23
ScannerWithoutValidation;100mb;1,86;573,23
ScannerCase;100mb;1,72;1 221,11
FileReaderCase;100mb;1,21;1 045,87
BufferReaderCase;100mb;1,17;912,80
CSVReaderCase;250mb;3,92;1 887,04
FileReaderCase;250mb;3,22;1 195,98
FileReaderWithoutValidation;250mb;3,52;2 537,55
FilesLinesWithoutValidation;250mb;3,42;1 604,12
ScannerCase;250mb;4,83;567,90
FilesLinesCase;250mb;3,27;2 055,21
BufferReaderCase;250mb;3,17;1 332,11
CSVReaderWithoutValidation;250mb;5,37;1 666,23
BufferReaderWithoutValidation;250mb;3,53;1 036,84
ScannerWithoutValidation;250mb;5,00;2 224,20
ScannerCase;500mb;9,70;2 472,04
FileReaderCase;500mb;7,02;925,35
ScannerWithoutValidation;500mb;10,53;1 670,01
CSVReaderWithoutValidation;500mb;11,06;1 279,44
FilesLinesCase;500mb;7,01;754,73
CSVReaderCase;500mb;8,32;1 860,02
FileReaderWithoutValidation;500mb;7,55;2 136,44
BufferReaderWithoutValidation;500mb;7,36;1 662,66
BufferReaderCase;500mb;6,99;801,94
FilesLinesWithoutValidation;500mb;7,55;1 648,47
FileReaderCase;1gb;15,27;3 376,25
ScannerWithoutValidation;1gb;22,02;2 632,70
CSVReaderWithoutValidation;1gb;23,11;2 548,29
FilesLinesCase;1gb;14,52;1 709,64
BufferReaderCase;1gb;14,65;4 462,74
FilesLinesWithoutValidation;1gb;15,34;1 918,54
CSVReaderCase;1gb;17,70;4 508,88
FileReaderWithoutValidation;1gb;15,94;6 740,25
BufferReaderWithoutValidation;1gb;15,25;7 419,72
ScannerCase;1gb;20,03;4 697,62
ScannerWithoutValidation;2gb;45,34;6 832,55
FilesLinesCase;2gb;31,07;2 802,04
BufferReaderWithoutValidation;2gb;32,49;7 379,86
FileReaderCase;2gb;31,08;2 803,12
CSVReaderWithoutValidation;2gb;47,77;3 226,19
FilesLinesWithoutValidation;2gb;33,16;3 424,22
ScannerCase;2gb;43,45;3 231,75
FileReaderWithoutValidation;2gb;33,32;4 119,17
BufferReaderCase;2gb;31,90;3 148,64
CSVReaderCase;2gb;37,74;2 952,47
BufferReaderWithoutValidation;4gb;79,93;10 359,87
FileReaderCase;4gb;70,82;4 275,97
CSVReaderCase;4gb;82,00;4 681,35
CSVReaderWithoutValidation;4gb;110,11;4 620,60
ScannerWithoutValidation;4gb;105,10;4 043,84
FileReaderWithoutValidation;4gb;82,80;3 774,11
FilesLinesCase;4gb;68,17;4 722,62
FilesLinesWithoutValidation;4gb;81,46;4 203,90
BufferReaderCase;4gb;70,65;4 390,93
ScannerCase;4gb;91,85;4 638,64
ScannerWithoutValidation;100mb;1,93;2 365,59
FilesLinesCase;100mb;1,22;1 761,61
BufferReaderCase;100mb;1,19;1 761,61
CSVReaderCase;100mb;1,50;1 694,50
FilesLinesWithoutValidation;100mb;1,18;1 803,55
FileReaderWithoutValidation;100mb;1,24;1 887,44
ScannerCase;100mb;1,76;2 315,26
BufferReaderWithoutValidation;100mb;1,17;1 803,55
FileReaderCase;100mb;1,20;1 660,94
CSVReaderWithoutValidation;100mb;2,03;654,31
FilesLinesWithoutValidation;250mb;3,35;1 841,32
FilesLinesCase;250mb;3,34;1 287,32
FileReaderCase;250mb;3,18;1 330,64
ScannerWithoutValidation;250mb;4,79;1 917,70
CSVReaderCase;250mb;4,00;1 117,18
CSVReaderWithoutValidation;250mb;5,44;1 417,91
BufferReaderCase;250mb;3,19;1 052,43
ScannerCase;250mb;4,54;1 950,67
FileReaderWithoutValidation;250mb;3,62;2 386,56
BufferReaderWithoutValidation;250mb;3,40;1 704,22
CSVReaderCase;500mb;8,44;1 587,28
BufferReaderWithoutValidation;500mb;7,23;2 316,39
BufferReaderCase;500mb;6,98;792,49
FilesLinesCase;500mb;7,04;936,64
CSVReaderWithoutValidation;500mb;11,07;1 843,83
FilesLinesWithoutValidation;500mb;7,35;3 602,91
ScannerWithoutValidation;500mb;10,23;2 097,00
FileReaderWithoutValidation;500mb;7,70;2 118,54
ScannerCase;500mb;9,69;1 854,80
FileReaderCase;500mb;7,22;1 087,04
FilesLinesCase;1gb;14,53;3 129,49
BufferReaderWithoutValidation;1gb;15,14;2 656,05
CSVReaderWithoutValidation;1gb;22,82;3 475,68
FileReaderCase;1gb;14,69;4 475,32
CSVReaderCase;1gb;18,03;4 383,05
ScannerCase;1gb;20,18;5 335,16
FilesLinesWithoutValidation;1gb;15,11;2 512,80
BufferReaderCase;1gb;14,59;4 462,74
FileReaderWithoutValidation;1gb;15,58;6 471,81
ScannerWithoutValidation;1gb;22,00;2 498,69
FileReaderWithoutValidation;2gb;34,01;7 019,09
ScannerCase;2gb;42,68;3 560,15
FilesLinesCase;2gb;31,33;2 813,61
CSVReaderCase;2gb;37,86;3 069,32
ScannerWithoutValidation;2gb;45,44;3 277,38
FileReaderCase;2gb;31,38;2 853,80
FilesLinesWithoutValidation;2gb;33,42;4 338,70
CSVReaderWithoutValidation;2gb;47,73;4 764,52
BufferReaderWithoutValidation;2gb;32,55;4 373,52
BufferReaderCase;2gb;31,24;3 121,03
BufferReaderWithoutValidation;4gb;80,56;10 178,69
ScannerCase;4gb;91,50;4 727,94
CSVReaderCase;4gb;81,30;4 378,31
FilesLinesWithoutValidation;4gb;83,39;3 506,92
FileReaderCase;4gb;73,16;4 682,52
ScannerWithoutValidation;4gb;103,58;4 098,15
FilesLinesCase;4gb;70,71;4 161,56
BufferReaderCase;4gb;70,93;4 555,01
CSVReaderWithoutValidation;4gb;110,10;4 778,32
FileReaderWithoutValidation;4gb;82,35;3 858,73
ScannerCase;100mb;1,93;1 417,67
FilesLinesCase;100mb;1,17;913,13
BufferReaderWithoutValidation;100mb;1,26;633,42
BufferReaderCase;100mb;1,16;901,09
CSVReaderWithoutValidation;100mb;2,12;712,63
ScannerWithoutValidation;100mb;1,84;1 794,63
FileReaderWithoutValidation;100mb;1,29;1 634,41
FileReaderCase;100mb;1,20;862,44
CSVReaderCase;100mb;1,53;1 087,36
FilesLinesWithoutValidation;100mb;1,28;612,60
FilesLinesCase;250mb;3,47;942,65
BufferReaderCase;250mb;3,31;1 937,77
FilesLinesWithoutValidation;250mb;3,59;1 712,68
BufferReaderWithoutValidation;250mb;3,30;1 404,05
FileReaderWithoutValidation;250mb;3,78;839,98
FileReaderCase;250mb;3,22;1 356,63
